Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanMultiTermNumericRangeQuery() throws java.io.IOException",91,104,13,"14.29%",0.003361034164358264,0.003868615853885355,0.0005075816895270908,"15.1%"
"public static boolean org.elasticsearch.test.ElasticsearchTestCase.terminate(java.util.concurrent.ExecutorService[]) throws java.lang.InterruptedException",537,1016,479,"89.2%",0.019833795013850415,0.037793401034110774,0.01795960602026036,"90.55%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter10() throws java.io.IOException",112,99,-13,"-11.61%",0.004136657433056325,0.0036826247070639436,-0.0004540327259923817,"-10.98%"
"randoop.operation.UncheckedCast@5ee4ff12",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"randoop.operation.UncheckedCast@75efc815",3,0,-3,"-INF%",0.00011080332409972299,0.0,-0.00011080332409972299,"-INF%"
"randoop.operation.ArrayElementSet@41b66bb2",5,0,-5,"-INF%",0.00018467220683287164,0.0,-0.00018467220683287164,"-INF%"
"public static java.lang.String org.elasticsearch.test.ElasticsearchTestCase.randomUnicodeOfCodepointLength(int)",23,24,1,"4.35%",0.0008494921514312096,0.0008927575047427743,4.32653533115647e-05,"5.09%"
"public static java.lang.Class org.apache.lucene.util.LuceneTestCase.getTestClass()",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public static void org.apache.lucene.util.LuceneTestCase.resetDefaultQueryCache()",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.setup() throws java.io.IOException",94,95,1,"1.06%",0.003471837488457987,0.0035338317896068147,6.199430114882777e-05,"1.79%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testDisMaxBuilder() throws java.lang.Exception",109,102,-7,"-6.42%",0.004025854108956602,0.0037942193951567907,-0.00023163471379981145,"-5.75%"
